ligand,local_boltz2,local_af3msa,local_af3colabfold,redock_boltz2,redock_af3msa,redock_af3colabfold
cpd_1,-4.622,-0.12,-3.37,-6.628,-6.439,-6.909
cpd_10,-3.238,-5.512,-1.775,-5.383,-6.533,-6.29
cpd_11,-6.365,-2.096,-2.334,-7.772,-7.459,-8.491
cpd_12,-4.918,-4.448,-2.841,-7.278,-7.592,-7.744
cpd_13,-6.473,-4.199,4.995,-7.545,-8.132,-7.735
cpd_2,-5.052,-0.35,-1.112,-7.013,-7.412,-6.839
cpd_3,-4.138,2.175,-0.638,-5.294,-5.596,-5.948
cpd_4,-4.258,-3.012,-1.057,-6.878,-5.686,-6.664
cpd_5,-5.22,86.698,-4.451,-7.054,-6.866,-6.764
cpd_6,-3.894,-3.355,-2.715,-7.2,-6.387,-8.281
cpd_7,-3.964,-0.77,-2.587,-6.509,-5.664,-7.262
cpd_8,-4.969,-5.087,-1.068,-7.643,-6.731,-8.001
cpd_9,-4.129,1.143,-3.37,-7.28,-7.599,-7.508
sa,-3.267,-2.284,-3.053,-4.999,-4.471,-4.695
