rank,ligand,iptm,ptm,ranking_score,prot_lig_pae_min,has_clash
1,cpd_10,0.86,0.73,0.87,2.3,0.0
2,sa,0.83,0.73,0.85,2.65,0.0
3,cpd_12,0.71,0.71,0.76,4.2,0.0
4,cpd_9,0.7,0.71,0.74,4.55,0.0
5,cpd_3,0.69,0.73,0.73,5.2,0.0
6,cpd_6,0.67,0.7,0.72,5.03,0.0
7,cpd_2,0.66,0.71,0.71,5.68,0.0
8,cpd_13,0.65,0.69,0.7,5.29,0.0
9,cpd_4,0.65,0.71,0.71,5.64,0.0
10,cpd_11,0.64,0.7,0.7,5.96,0.0
11,cpd_5,0.64,0.7,0.69,5.08,0.0
12,cpd_7,0.61,0.69,0.67,5.74,0.0
13,cpd_1,0.59,0.7,0.66,6.26,0.0
14,cpd_8,0.58,0.68,0.64,6.62,0.0
