structure,smiles
cpd 1,O=C(NC)CC1=CC(C2=C(C)C=CN=C2)=CC=C1NC(C3=NOC4=C3C=CC=C4)=O
cpd 2,OC(CC1=CC(C2=C(C)C=CN=C2)=CC=C1NC(C3=NOC4=C3C=CC=C4)=O)=O
cpd 3,NC1=CC=C(C2=C(C)C=CN=C2)C=C1CC(NC)=O
cpd 4,BrC1=CC=C(NC(C2=NOC3=C2C=CC=C3)=O)C(CC(NC)=O)=C1
cpd 5,O=C(OC)CC1=CC(C2=C(C)C=CN=C2)=CC=C1NC(C3=NOC4=C3C=CC=C4)=O
cpd 6,O=C(NCC1=CC=NN1C(F)(F)F)CC2=CC(C3=C(C)C=CN=C3)=CC=C2NC(C4=NOC5=C4C=CC=C5)=O
cpd 7,O=C(NCCCCCC)CC1=CC(C2=C(C)C=CN=C2)=CC=C1NC(C3=NOC4=C3C=CC=C4)=O
cpd 8,O=C(NCCC1=CNC2=C1C=CC=C2)CC3=CC(C4=C(C)C=CN=C4)=CC=C3NC(C5=NOC6=C5C=CC=C6)=O
cpd 9,O=C(N1CCN(CC1)C)CC2=CC(C3=C(C)C=CN=C3)=CC=C2NC(C4=NOC5=C4C=CC=C5)=O
cpd 10,O=C(NC)CC1=CC(C2=C(C)C=CN=C2)=CC=C1NC(C)=O
cpd 11,O=C(NC)CC1=CC(C2=C(C)C=CN=C2)=CC=C1NC(C3=CC=CC4=C3C=CC=C4)=O
cpd 12,O=C(NC)CC1=CC(C2=C(C)C=CC=C2)=CC=C1NC(C3=NOC4=C3C=CC=C4)=O
cpd 13,O=C(NC)CC1=CC(C2=C(C=CC=C3)C3=CN=C2)=CC=C1NC(C4=NOC5=C4C=CC=C5)=O
sa,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O
